"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.277671900E-1,-3.093308687E0,-9.576806426E-2,1.047702694E1,1.092455142E1
5.328025850E-1,-3.093308687E0,-1.723825186E-1,1.080263805E1,1.123811654E1
5.378379790E-1,-3.169923067E0,-1.915361285E-1,1.113782597E1,1.158172118E1
5.428733730E-1,-3.256114244E0,-3.351882398E-1,1.142513084E1,1.188479053E1
5.478782500E-1,-3.102885485E0,-3.926490843E-1,1.161666679E1,1.203033744E1
5.529136450E-1,-3.112462282E0,-4.692635238E-1,1.165497398E1,1.207253280E1
5.579490390E-1,-3.179499865E0,-5.171475410E-1,1.150174522E1,1.194432100E1
5.629539160E-1,-3.313575268E0,-6.224924326E-1,1.133893967E1,1.182957441E1
5.679893090E-1,-3.313575268E0,-6.320692301E-1,1.120486355E1,1.170163492E1
5.730247040E-1,-3.265691042E0,-6.224924326E-1,1.108994198E1,1.157752339E1
5.780600980E-1,-3.208230257E0,-6.416460276E-1,1.089840603E1,1.137891493E1
5.830649750E-1,-3.179499865E0,-5.937620401E-1,1.080263805E1,1.127646938E1
5.881003690E-1,-3.026270866E0,-5.458779931E-1,1.078348446E1,1.121337751E1
5.931357640E-1,-2.911349297E0,-4.213795066E-1,1.079306126E1,1.118676391E1
5.981406400E-1,-2.873042107E0,-3.447650373E-1,1.088882923E1,1.126675800E1
6.031760340E-1,-2.987963676E0,-2.585737705E-1,1.098459721E1,1.138666602E1
6.082114280E-1,-3.198653460E0,-2.681505978E-1,1.102290440E1,1.148075390E1
6.132468230E-1,-3.466804028E0,-7.661445439E-2,1.092713642E1,1.146415764E1
6.182516990E-1,-3.533841610E0,6.703764945E-2,1.079306126E1,1.135705516E1
6.232870940E-1,-3.610456228E0,1.436520964E-1,1.060152531E1,1.120037361E1
6.283224880E-1,-3.629609823E0,3.064578176E-1,1.044829655E1,1.106502981E1
6.333578830E-1,-3.667917013E0,3.447650373E-1,1.022802925E1,1.087129525E1
6.383627580E-1,-3.620033026E0,3.639186621E-1,1.006522369E1,1.070260734E1
6.433981530E-1,-3.533841610E0,2.777273953E-1,9.931148529E0,1.054480347E1
6.484335470E-1,-3.495534420E0,2.011129409E-1,9.844957352E0,1.044903788E1
6.534384240E-1,-3.342305660E0,9.576806799E-3,9.682151794E0,1.024281027E1
6.584738180E-1,-3.284844637E0,-9.576806799E-3,9.538499832E0,1.008827414E1
6.635092130E-1,-3.208230257E0,-5.746084079E-2,9.251194954E0,9.791866584E0
6.685446070E-1,-2.911349297E0,-5.746084079E-2,9.145850182E0,9.598220253E0
6.735494830E-1,-2.748543501E0,2.873042040E-2,9.203310966E0,9.605011690E0
6.785848770E-1,-2.700659513E0,6.703764945E-2,9.327810287E0,9.711132818E0
6.836202720E-1,-2.834734917E0,1.532289088E-1,9.155426979E0,9.585460047E0
6.886251490E-1,-6.512228847E-1,-1.264138460E0,8.609549522E0,8.726195063E0
6.936605430E-1,-4.826710701E0,2.968810201E-1,9.414001465E0,1.058341618E1
6.986959370E-1,-4.817133904E0,6.895300746E-1,1.004607010E1,1.116260522E1
7.037313320E-1,-3.849876404E0,7.948749661E-1,1.055364132E1,1.126200336E1
7.087362080E-1,-2.949656487E0,4.884171486E-1,1.041956615E1,1.084003614E1
7.137716020E-1,-2.930502892E0,1.723825186E-1,1.034295177E1,1.075147498E1
7.188069960E-1,-2.710236311E0,-8.810662031E-1,1.000776291E1,1.040562237E1
7.238423910E-1,-4.817133904E0,-5.075707436E-1,1.059194851E1,1.164696443E1
7.288472680E-1,-5.056553841E0,-3.447650373E-1,1.052491093E1,1.168166725E1
7.338826620E-1,-4.644751072E0,-1.436520964E-1,1.042914295E1,1.141759043E1
7.389180560E-1,-4.070142746E0,-3.543418646E-1,1.030464458E1,1.108500429E1
7.439229320E-1,-3.936067581E0,-4.309563041E-1,1.045787334E1,1.118237301E1
7.489583270E-1,-4.012681961E0,-5.554547906E-1,1.062067890E1,1.136701222E1
7.539937210E-1,-3.849876404E0,-5.267243981E-1,1.080263805E1,1.148024285E1
