"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.233083119E0,-1.915361360E-2,-7.469909191E-1,9.576806799E-3,7.472978050E-1
1.238118522E0,-9.576806799E-3,-7.278373241E-1,1.915361360E-2,7.281522825E-1
1.243153925E0,3.830722719E-2,-7.565677166E-1,7.661445439E-2,7.614012924E-1
1.248189328E0,3.830722719E-2,-7.757213712E-1,1.915361285E-1,7.999357336E-1
1.253194214E0,1.723825186E-1,-6.991068721E-1,1.082179189E0,1.299837662E0
1.258229617E0,1.551442742E0,-2.681505978E-1,6.512228489E0,6.699850686E0
1.263265021E0,2.777273893E0,6.799532771E-1,1.309149456E1,1.340010510E1
1.268300424E0,3.160346270E0,1.493981838E0,1.940261078E1,1.971499620E1
1.273305309E0,3.466804028E0,2.135627985E0,2.383667183E1,2.418194700E1
1.278340712E0,2.786850691E0,2.327163935E0,2.587653160E1,2.613000414E1
1.283376116E0,2.049436569E0,2.336740971E0,2.542642212E1,2.561568836E1
1.288411519E0,8.427590132E-1,1.934514999E0,2.226607513E1,2.236583763E1
1.293446922E0,-1.244984865E-1,1.206677675E0,1.733402061E1,1.737641625E1
1.298451807E0,-6.991068721E-1,6.129156351E-1,1.266053867E1,1.269463097E1
1.303487211E0,-1.331176162E0,1.244984865E0,6.876147270E0,7.113607985E0
1.308522614E0,-4.175487995E0,1.487278080E1,-1.656787491E1,2.265234619E1
1.313558017E0,-1.244984865E0,4.548983383E1,-2.543599892E1,5.213314694E1
1.318562903E0,2.557007313E0,3.808695984E1,-7.182605267E-1,3.817945382E1
1.323598307E0,2.355894566E0,1.513135433E1,1.340752983E1,2.035362325E1
1.328633709E0,1.158793569E0,5.238513470E0,1.635718536E1,1.721459668E1
1.333669112E0,1.206677675E0,2.202665567E0,1.635718536E1,1.654887669E1
1.338673998E0,2.624045134E0,1.838746905E0,1.488235760E1,1.522337580E1
1.343709402E0,2.710236311E0,2.547430515E0,1.197100830E1,1.253554238E1
1.348744805E0,1.388636947E0,3.131615877E0,8.628703117E0,9.283848774E0
1.353780207E0,6.512228847E-1,3.878606796E0,5.439626217E0,6.712467155E0
1.358785093E0,9.576806799E-3,5.564124584E0,2.365471363E0,6.046075494E0
1.363820497E0,-9.576806799E-3,7.661445618E0,2.681505978E-1,7.666142799E0
1.368855900E0,4.692635238E-1,9.605537415E0,-2.489969730E-1,9.620216046E0
1.373891303E0,5.746083856E-1,1.088882923E1,3.064578176E-1,1.090828553E1
1.378896188E0,-1.053448766E-1,1.164539719E1,2.461239338E0,1.190311187E1
1.383931591E0,-1.082179189E0,1.088882923E1,4.826710701E0,1.195971781E1
1.388966995E0,-2.068590164E0,9.050082207E0,7.364564419E0,1.184988870E1
1.394002398E0,-8.044517636E-1,7.115567684E0,8.935160637E0,1.145056949E1
1.399037802E0,2.873042040E-2,5.516240597E0,7.805097580E0,9.557681936E0
1.404042687E0,7.086837292E-1,5.592854977E0,8.293514252E0,1.002819216E1
1.409078090E0,5.937620401E-1,6.780379295E0,9.701305389E0,1.185079841E1
1.414113493E0,3.926490843E-1,7.182605267E0,9.308655739E0,1.176414312E1
1.419148897E0,-7.661445439E-2,7.268796444E0,8.753201485E0,1.137804059E1
1.424184300E0,-2.202665508E-1,7.354987621E0,8.006210327E0,1.087399485E1
1.429189186E0,-1.340752989E-1,7.326257229E0,7.010222435E0,1.014077116E1
1.434224588E0,1.819593310E-1,7.431602001E0,6.023811340E0,9.568078207E0
1.439259992E0,3.160346150E-1,7.460332394E0,5.564124584E0,9.312138298E0
1.444295395E0,2.298433632E-1,7.450755596E0,5.219359875E0,9.099906836E0
1.449300281E0,5.746084079E-2,7.307103634E0,5.420472622E0,9.098273941E0
1.454335684E0,-8.619125932E-2,7.077260017E0,5.956773758E0,9.250848171E0
1.459371088E0,2.873042040E-2,6.847416878E0,6.406883717E0,9.377425142E0
1.464406490E0,2.298433632E-1,6.789956093E0,6.742072105E0,9.571408882E0
1.469441893E0,3.064578176E-1,6.924031258E0,6.933608055E0,9.803624121E0
