"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.612824600E-1,2.825158119E0,2.202665508E-1,7.517793179E0,8.034130322E0
7.663178550E-1,2.614468336E0,1.149216816E-1,8.044517517E0,8.459486613E0
7.713532520E-1,2.327163935E0,4.788403213E-2,8.389283180E0,8.706207965E0
7.763581300E-1,2.068590164E0,2.873042040E-2,8.609549522E0,8.854616518E0
7.813935260E-1,1.675941229E0,1.723825186E-1,8.973467827E0,9.130258462E0
7.864289210E-1,1.436521053E0,4.692635238E-1,9.107542992E0,9.232071292E0
7.914643170E-1,1.359906554E0,1.043871999E0,9.165003777E0,9.323964222E0
7.964691960E-1,1.628057122E0,1.752555609E0,8.810662270E0,9.129610659E0
8.015045910E-1,2.116474390E0,2.959233284E0,8.868123055E0,9.585412458E0
8.065399870E-1,2.777273893E0,4.280832767E0,8.303091049E0,9.745773465E0
8.115753830E-1,4.012681961E0,5.410895824E0,7.939172745E0,1.041200624E1
8.165802620E-1,5.334281445E0,6.483498096E0,7.441178799E0,1.121879887E1
8.216156570E-1,6.560112476E0,7.000645638E0,6.703764915E0,1.170404114E1
8.266510530E-1,6.627150536E0,7.010222435E0,5.746084213E0,1.122852736E1
8.316864490E-1,5.430049419E0,6.895300865E0,4.855441093E0,1.003025019E1
8.366913280E-1,4.443638325E0,7.067683220E0,4.252102375E0,9.369015010E0
8.417267230E-1,3.658340216E0,7.479485989E0,4.031835556E0,9.251046521E0
8.467621190E-1,3.265691042E0,7.441178799E0,4.347870350E0,9.216282139E0
8.517975150E-1,3.150769472E0,7.316680431E0,5.181052685E0,9.502866290E0
8.568023940E-1,3.227383852E0,6.655880928E0,6.493074894E0,9.842600217E0
8.618377890E-1,3.438073635E0,5.353435040E0,8.370129585E0,1.051373798E1
8.668731850E-1,3.380612850E0,3.983951569E0,1.058237171E1,1.180199154E1
8.719085810E-1,3.189076662E0,2.719813108E0,1.266053867E1,1.333629757E1
