"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.778883640E-1,1.915361285E-1,3.438073635E0,1.077390766E1,1.131079673E1
5.829237710E-1,1.532289088E-1,3.505111217E0,1.104205799E1,1.158604024E1
5.879591800E-1,3.734954596E-1,3.600879431E0,1.114740276E1,1.172051278E1
5.929640710E-1,6.129156351E-1,3.801992416E0,1.115697956E1,1.180292357E1
5.979994790E-1,6.224924326E-1,3.734954596E0,1.110909557E1,1.173666848E1
6.030348860E-1,4.884171486E-1,3.562572241E0,1.112824917E1,1.169480234E1
6.080397770E-1,5.171475410E-1,3.514688015E0,1.115697956E1,1.170891397E1
6.130751860E-1,5.937620401E-1,3.600879431E0,1.108994198E1,1.167500317E1
6.181105930E-1,4.501099288E-1,3.677493811E0,1.091755962E1,1.152907923E1
6.231154840E-1,1.436520964E-1,3.801992416E0,1.092713642E1,1.157057011E1
6.281508920E-1,-3.160346150E-1,3.878606796E0,1.059194851E1,1.128418547E1
6.331863010E-1,-3.447650373E-1,3.533841610E0,9.959878922E0,1.057383977E1
6.382217080E-1,8.906430602E-1,2.461239338E0,9.461885452E0,9.817240980E0
6.432265990E-1,7.469909191E-1,2.815581083E0,9.212887764E0,9.662442405E0
6.482620070E-1,1.915361285E-1,3.361459255E0,1.115697956E1,1.165393870E1
6.532974150E-1,5.458779931E-1,2.930502892E0,1.154962921E1,1.192810819E1
6.583328230E-1,9.002198577E-1,3.514688015E0,1.172201157E1,1.227065535E1
6.633377140E-1,1.369483352E0,4.280832767E0,1.150174522E1,1.234873099E1
6.683731220E-1,1.513135433E0,4.568136692E0,1.169328117E1,1.264477269E1
6.734085300E-1,1.312022567E0,4.501099110E0,1.164539719E1,1.255374733E1
6.784134200E-1,1.005564690E0,3.993528366E0,1.156878281E1,1.227990899E1
6.834488290E-1,4.884171486E-1,3.457227230E0,1.144428444E1,1.196505820E1
6.884842370E-1,-3.160346150E-1,3.179499865E0,1.172201157E1,1.214967705E1
6.935196450E-1,-9.097966552E-1,3.303998232E0,1.258392429E1,1.304221166E1
6.985245350E-1,-8.236053586E-1,3.409343243E0,1.275630665E1,1.322971301E1
7.035599440E-1,-1.675941229E0,3.150769472E0,1.287122822E1,1.335682010E1
7.085953510E-1,-2.863465309E0,2.873042107E0,1.305318737E1,1.366892479E1
