"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.810821540E-1,-2.384624958E0,9.078812599E0,6.579266071E0,1.146289738E1
4.861175440E-1,-2.288856745E0,9.040505409E0,5.966350555E0,1.107099554E1
4.911224180E-1,-1.972822189E0,8.916007042E0,5.477933407E0,1.064870712E1
4.961578090E-1,-1.493981838E0,8.609549522E0,4.730942726E0,9.936706889E0
5.011931990E-1,-9.576807022E-1,8.149862289E0,4.347870350E0,9.286623942E0
5.061980730E-1,-3.926490843E-1,7.556100368E0,3.782838583E0,8.459237189E0
5.112334630E-1,1.723825186E-1,6.876147270E0,3.380612850E0,7.664180338E0
5.162688530E-1,6.607996821E-1,6.138733387E0,3.026270866E0,6.875974053E0
5.213042450E-1,1.177947283E0,5.430049419E0,2.681505919E0,6.169559992E0
5.263091180E-1,1.599326730E0,4.692635536E0,2.624045134E0,5.609303622E0
5.313445080E-1,1.877054095E0,4.060565948E0,2.375048161E0,5.064818029E0
5.363798990E-1,2.097320795E0,3.533841610E0,2.164358377E0,4.644484711E0
5.413847720E-1,2.049436569E0,2.940079689E0,1.781286120E0,4.002154304E0
5.464201640E-1,1.149216771E0,1.944091797E0,-2.317587137E0,3.235954610E0
5.514555540E-1,4.884171486E-1,1.244984865E0,-4.788403213E-2,1.338219528E0
5.564909440E-1,2.106897533E-1,1.139639974E0,1.120486379E0,1.612035721E0
5.614958180E-1,4.979939461E-1,1.005564690E0,1.723825186E-1,1.135285888E0
5.665312090E-1,9.002198577E-1,8.906430602E-1,3.830722719E-2,1.266928686E0
5.715665990E-1,1.254561663E0,8.236053586E-1,0.000000000E0,1.500750063E0
5.766019900E-1,1.455674648E0,4.501099288E-1,1.915361360E-2,1.523796079E0
5.816068630E-1,1.675941229E0,-2.873042040E-2,9.576806799E-3,1.676214830E0
5.866422540E-1,2.001552582E0,-6.033388376E-1,3.830722719E-2,2.090860573E0
5.916776450E-1,2.442085743E0,-1.254561663E0,2.394201756E-1,2.755908156E0
5.967130350E-1,2.892195702E0,-1.790862918E0,4.118026793E-1,3.426597060E0
6.017179080E-1,3.447650433E0,-2.240972757E0,6.703764796E-1,4.166252156E0
6.067533000E-1,3.974374771E0,-2.633621931E0,7.948749661E-1,4.833574817E0
6.117886900E-1,4.625597477E0,-2.873042107E0,8.523358107E-1,5.511533298E0
6.167935630E-1,5.334281445E0,-3.150769472E0,4.884171486E-1,6.214536033E0
6.218289540E-1,6.148310184E0,-3.466804028E0,3.256114423E-1,7.065866621E0
6.268643450E-1,7.019799232E0,-3.840299606E0,2.394201756E-1,8.005173599E0
6.318997350E-1,7.824251175E0,-4.299986362E0,-8.619125932E-2,8.928393926E0
6.369046090E-1,8.236053467E0,-4.280832767E0,-2.202665508E-1,9.284752191E0
6.419399990E-1,8.130708694E0,-3.983951569E0,-4.022258818E-1,9.063226778E0
6.469753900E-1,7.680599213E0,-3.667917013E0,-7.948749661E-1,8.548511314E0
6.520107810E-1,7.115567684E0,-3.658340216E0,-9.672574997E-1,8.059177605E0
6.570156540E-1,6.081272125E0,-4.060565948E0,-9.385270476E-1,7.372306254E0
6.620510440E-1,4.740519524E0,-4.405331135E0,-6.224924326E-1,6.501304837E0
6.670864360E-1,3.533841610E0,-4.462791920E0,-7.469909191E-1,5.741301566E0
6.721218260E-1,2.662352324E0,-4.424484730E0,-1.474828243E0,5.370223772E0
6.771267000E-1,2.394201756E0,-4.357447147E0,-2.193088770E0,5.434076374E0
6.821620900E-1,2.413355350E0,-4.510675907E0,-2.901772499E0,5.881391402E0
6.871974810E-1,2.394201756E0,-4.730942726E0,-3.371036053E0,6.283144531E0
6.922023540E-1,2.250549555E0,-4.922478676E0,-3.457227230E0,6.422475359E0
6.972377450E-1,2.116474390E0,-4.999093056E0,-3.303998232E0,6.355060939E0
7.022731350E-1,1.618480325E0,-4.778826714E0,-3.485957623E0,6.132582153E0
7.073085270E-1,1.168370485E0,-4.587290287E0,-3.524264812E0,5.901589975E0
7.123133990E-1,1.024718285E0,-4.299986362E0,-3.236960649E0,5.478854308E0
7.173487900E-1,1.005564690E0,-4.204218388E0,-2.863465309E0,5.185175616E0
7.223841810E-1,4.022258818E-1,-4.185064793E0,-2.317587137E0,4.800808590E0
7.274195720E-1,-9.289502501E-1,-3.859453201E0,-1.781286120E0,4.351012276E0
7.324244440E-1,-2.413355350E0,-2.892195702E0,-9.002198577E-1,3.872915674E0
7.374598360E-1,-3.926490784E0,-1.532289028E0,-7.661445439E-2,4.215579357E0
7.424952260E-1,-4.893748283E0,-1.819593310E-1,6.799532771E-1,4.944109416E0
7.475000990E-1,-4.932055473E0,9.576807022E-1,1.235408068E0,5.173833841E0
7.525354900E-1,-4.367023945E0,2.097320795E0,1.685518026E0,5.129388235E0
7.575708810E-1,-3.629609823E0,3.371036053E0,2.126051188E0,5.390551474E0
7.626062710E-1,-3.055001259E0,4.683058739E0,2.920926094E0,6.308397664E0
7.676111450E-1,-2.662352324E0,6.071695328E0,4.395754337E0,7.954637656E0
7.726465350E-1,-2.528276920E0,7.757213593E0,6.483498096E0,1.042124246E1
7.776819260E-1,-2.576161146E0,9.816226959E0,9.050082207E0,1.359775371E1
7.827173170E-1,-2.604891539E0,1.222958183E1,1.164539719E1,1.708693675E1
7.877221900E-1,-2.078166962E0,1.448970890E1,1.366610336E1,2.002580393E1
7.927575800E-1,-4.213795066E-1,1.568680954E1,1.464293766E1,2.146320520E1
7.977929720E-1,2.126051188E0,1.520796967E1,1.481532001E1,2.133766956E1
8.028283620E-1,4.606443882E0,1.415452003E1,1.474828243E1,2.095427396E1
8.078332350E-1,6.320692539E0,1.371398735E1,1.519839191E1,2.142465216E1
8.128686260E-1,7.048529625E0,1.408748245E1,1.592622948E1,2.240052939E1
8.179040170E-1,7.220912457E0,1.475785923E1,1.665406609E1,2.339431347E1
8.229088900E-1,7.115567684E0,1.506431675E1,1.707544708E1,2.385656798E1
8.279442810E-1,6.694188118E0,1.502600956E1,1.739148140E1,2.393860362E1
8.329796710E-1,6.110002518E0,1.492066479E1,1.763090134E1,2.389156860E1
8.380150630E-1,5.573701382E0,1.455674648E1,1.833958435E1,2.406876335E1
8.430199350E-1,4.979939461E0,1.407790565E1,1.970906830E1,2.472720360E1
8.480553260E-1,4.462791920E0,1.343626022E1,2.100193787E1,2.532846215E1
8.530907170E-1,4.050989151E0,1.279461384E1,2.195961761E1,2.573591774E1
8.581261080E-1,3.620033026E0,1.211466026E1,2.261084175E1,2.590597995E1
8.631309800E-1,3.045424461E0,1.154005241E1,2.280237770E1,2.573705206E1
8.681663720E-1,2.384624958E0,1.085052204E1,2.263957214E1,2.521845538E1
8.732017620E-1,1.541865945E0,1.020887566E1,2.207453918E1,2.436973067E1
8.782066350E-1,5.937620401E-1,9.749189377E0,2.100193787E1,2.316205174E1
8.832420260E-1,-3.256114423E-1,9.356540680E0,1.958456993E1,2.170728577E1
8.882774170E-1,-9.289502501E-1,8.820239067E0,1.790862846E1,1.998445744E1
8.933128070E-1,-1.283292055E0,8.274360657E0,1.629972458E1,1.832465291E1
8.983176810E-1,-1.197100878E0,7.623138428E0,1.468124485E1,1.658566370E1
9.033530710E-1,-9.672574997E-1,7.115567684E0,1.285207462E1,1.472218437E1
9.083884620E-1,-2.681505978E-1,6.607996464E0,1.160709000E1,1.335896928E1
9.134238530E-1,2.777273953E-1,6.119579315E0,1.042914295E1,1.209518112E1
9.184287260E-1,7.948749661E-1,5.918466568E0,8.887276649E0,1.070718259E1
9.234641160E-1,1.350329757E0,5.832275391E0,7.048529625E0,9.247734672E0
9.284995080E-1,1.972822189E0,5.803544998E0,5.382165432E0,8.157258527E0
9.335043810E-1,2.652775526E0,5.497087002E0,3.792415380E0,7.185930553E0
9.385397710E-1,3.246537447E0,5.305551052E0,2.585737944E0,6.736090712E0
9.435751620E-1,3.533841610E0,5.027823448E0,1.666364431E0,6.367402576E0
9.486105530E-1,3.610456228E0,4.826710701E0,1.024718285E0,6.114129368E0
9.536154270E-1,3.533841610E0,4.577713490E0,6.033388376E-1,5.814423021E0
9.586508170E-1,3.524264812E0,3.926490784E0,1.915361285E-1,5.279626732E0
9.636862070E-1,3.371036053E0,3.303998232E0,1.149216816E-1,4.721598816E0
9.687215990E-1,3.026270866E0,2.614468336E0,3.351882398E-1,4.013241980E0
9.737264720E-1,2.537853718E0,2.126051188E0,9.959878922E-1,3.457280293E0
9.787618620E-1,1.781286120E0,1.647210717E0,1.991975784E0,3.139148119E0
9.837972530E-1,1.072602391E0,1.197100878E0,3.150769472E0,3.537071482E0
9.888021260E-1,2.968810201E-1,8.236053586E-1,4.165910721E0,4.256909238E0
9.938375170E-1,-2.968810201E-1,6.129156351E-1,5.190629482E0,5.235115886E0
9.988729080E-1,-9.193734527E-1,5.267243981E-1,6.090848923E0,6.182323733E0
1.003908298E0,-1.244984865E0,4.596867263E-1,6.895300865E0,7.021856822E0
1.008913171E0,-1.666364431E0,5.458779931E-1,7.613561630E0,7.812878720E0
1.013948563E0,-1.982398987E0,5.650315881E-1,8.054094315E0,8.313699638E0
1.018983953E0,-2.250549555E0,6.799532771E-1,8.149862289E0,8.482191055E0
1.023988826E0,-2.375048161E0,9.193734527E-1,8.331821442E0,8.712367637E0
1.029024217E0,-2.384624958E0,1.139639974E0,8.034940720E0,8.458456587E0
1.034059608E0,-2.432508945E0,1.522712231E0,7.565677166E0,8.091676173E0
1.039094998E0,-2.355894566E0,1.924938202E0,6.952761650E0,7.589237172E0
1.044099872E0,-2.547430515E0,2.154781580E0,6.052541733E0,6.911276822E0
1.049135262E0,-2.949656487E0,2.384624958E0,5.477933407E0,6.662932086E0
1.054170653E0,-3.227383852E0,2.652775526E0,4.625597477E0,6.232926804E0
1.059206044E0,-3.361459255E0,2.873042107E0,3.859453201E0,5.869340532E0
1.064210917E0,-3.533841610E0,3.150769472E0,3.189076662E0,5.708379345E0
1.069246307E0,-3.572149038E0,3.256114244E0,2.930502892E0,5.652466357E0
1.074281699E0,-3.552995205E0,3.332728863E0,3.035847664E0,5.739967564E0
1.079286571E0,-3.801992416E0,3.323152065E0,3.572149038E0,6.185364560E0
1.084321962E0,-4.146757126E0,3.572149038E0,4.271255970E0,6.942583883E0
1.089357353E0,-4.376600742E0,3.696647406E0,4.941632271E0,7.565683419E0
1.094392743E0,-4.232948780E0,3.916913986E0,5.573701382E0,8.020362688E0
1.099397617E0,-3.888183594E0,4.213795185E0,6.042964935E0,8.330154064E0
1.104433008E0,-3.514688015E0,4.434061527E0,6.397306919E0,8.540460719E0
1.109468398E0,-3.169923067E0,4.644751072E0,6.952761650E0,8.942204389E0
1.114503789E0,-2.719813108E0,4.941632271E0,7.498639584E0,9.383320758E0
1.119508662E0,-2.365471363E0,5.477933407E0,8.178592682E0,1.012386228E1
1.124544053E0,-2.164358377E0,6.272808552E0,8.839392662E0,1.105293793E1
1.129579444E0,-2.221819162E0,7.259219646E0,9.854534149E0,1.243963800E1
1.134614834E0,-2.595314741E0,8.389283180E0,1.104205799E1,1.410825204E1
1.139619707E0,-3.265691042E0,9.567230225E0,1.249773312E1,1.607451291E1
1.144655099E0,-4.127603531E0,1.069729328E1,1.394383049E1,1.805268964E1
1.149690489E0,-4.721365929E0,1.187524033E1,1.505473995E1,1.974734980E1
1.154695362E0,-4.529829502E0,1.265096188E1,1.596453667E1,2.086702237E1
1.159730753E0,-3.754108191E0,1.337879944E1,1.694137192E1,2.191108590E1
1.164766144E0,-3.198653460E0,1.422155857E1,1.795651245E1,2.312834736E1
1.169801534E0,-2.700659513E0,1.475785923E1,1.977610588E1,2.482302026E1
1.174806408E0,-1.407790542E0,1.387679291E1,2.072421074E1,2.498079595E1
1.179841798E0,9.576806799E-3,1.228704357E1,2.097320747E1,2.430734381E1
1.184877189E0,1.235408068E0,1.076433086E1,2.094447708E1,2.358109777E1
1.189912580E0,2.164358377E0,9.902418137E0,2.124135780E1,2.353587928E1
1.194917453E0,2.461239338E0,9.346963882E0,2.195004082E1,2.398390554E1
1.199952843E0,2.164358377E0,8.762778282E0,2.317587280E1,2.487150600E1
1.204988235E0,1.762132406E0,7.709329605E0,2.485181427E1,2.607971522E1
1.210023625E0,1.407790542E0,6.282385349E0,2.677675247E1,2.753987496E1
1.215028498E0,1.302445769E0,4.692635536E0,2.894111061E1,2.934799953E1
1.220063889E0,1.110909581E0,3.256114244E0,3.098097038E1,3.117141200E1
1.225099280E0,9.289502501E-1,1.991975784E0,3.284844589E1,3.292189718E1
1.230134670E0,5.458779931E-1,1.015141487E0,3.397851181E1,3.399805524E1
1.235139544E0,3.734954596E-1,3.447650373E-1,3.420835495E1,3.421213104E1
1.240174934E0,2.873041928E-1,-9.576806426E-2,3.353797913E1,3.353934643E1
1.245210326E0,4.596867263E-1,-3.543418646E-1,3.219722366E1,3.220245459E1
